DRUGBANK_ID,DB09555,DB09561,DB09563,DB09570,DB09571,DB11093,DB11104,DB11126,DB11228,DB11256,DB11359,DB11362,DB11363,DB11364,DB11367,DB11560,DB11574,DB11575,DB11581,DB11582,DB11591,DB11596,DB11602,DB11609,DB11610,DB11611,DB11613,DB11614,DB11619,DB11699,DB11730,DB11737,DB11793,DB11915,DB11921,DB11943,DB11994,DB12095,DB12161,DB12243,DB12332,DB12598,DB13025,DB13092,DB13139,DB13146,DB13154,DB13155,DB13156,DB13158,DB13164,DB13165,DB13167,DB13179,DB13180
DB00132,0.0197628,0.026087,0.0430108,0.0277778,0.0373134,0.059322,0,0.0364963,0.00597015,0.0294659,0.0373134,0.0240175,0.0071599,0.0380952,0.0266458,0.0202703,0.00447427,0.0126771,0.0079646,0.00965251,0.0229277,0.0262238,0.00668151,0.0537634,0.0326797,0.012848,0.00480538,0.01,0.013579,0.014553,0.011889,0.0071048,0.0143149,0.0117801,0.00699708,0.00862999,0.0131148,0.0138889,0.0157233,0.0392157,0.0132548,0.0105541,0.0299003,0.00554236,0.0299145,0.0569106,0.0392157,0.0107143,0.00875657,0.00927357,0.0108359,0.0160183,0.0526316,0.00595238,0.0522388
DB00133,0.0295567,0.112903,0.0666667,0.0248963,0.0465116,0.0704225,0,0.134146,0.0105263,0.0323887,0.0344828,0.0120482,0.00495458,0.0570342,0.0236486,0.0202206,0.00517837,0.0100309,0.00553506,0.0111562,0.0211538,0.0306513,0.0100251,0.027972,0.0480769,0.0170068,0.00541605,0.00304878,0.00911854,0.0138568,0.00843882,0.00387597,0.0205479,0.0182841,0.00418911,0.0114155,0.0106572,0.0318182,0.0170358,0.0251572,0.00629921,0.0121212,0.0195313,0.00742574,0.0491803,0.140845,0.0555556,0.0177165,0.0154143,0.0056,0.00666667,0.0128205,0.0380435,0.0101523,0.179487
DB00134,0.0462963,0.0617284,0.0655738,0.0272374,0.0490196,0.0568182,0,0.0891089,0.013289,0.0435644,0.038835,0.0162791,0.00734694,0.0766423,0.0280528,0.028777,0.00742433,0.0122137,0.00819672,0.015015,0.0281426,0.0393258,0.0120482,0.0379747,0.05,0.0189521,0.00733855,0.00596125,0.013,0.0201342,0.0124138,0.0056391,0.0265487,0.0206612,0.00593472,0.0111982,0.0120898,0.0325444,0.0199336,0.0285714,0.00923077,0.0115274,0.0258303,0.00814332,0.045,0.113636,0.0422535,0.0132827,0.0111524,0.00791139,0.0097561,0.017284,0.0348259,0.011194,0.123711
DB00135,0.0740741,0.0431034,0.0204082,0.0528169,0.136,0.0491803,0,0.0661765,0.00890208,0.054409,0.0676692,0.0283224,0.0127694,0.0509554,0.0249221,0.0288136,0.0101067,0.0164302,0.016919,0.0154889,0.0542495,0.0516934,0.00886918,0.0641711,0.166667,0.0451542,0.0106178,0.0186514,0.0106075,0.02079,0.018543,0.0142349,0.0439331,0.0223979,0.00522952,0.012959,0.0180328,0.103916,0.0252765,0.0591133,0.0344311,0.0432432,0.0433333,0.013535,0.0990991,0.0813008,0.238636,0.0252252,0.0122378,0.00692308,0.025,0.0252294,0.0848214,0.00952381,0.0909091
DB00136,0.0147256,0.0114566,0.00674536,0.0153061,0.0158983,0.012966,0,0.0174326,0.00722022,0.0153404,0.00629921,0.0104275,0.00799087,0.0147239,0.0122699,0.0119157,0.00745941,0.0214404,0.0123533,0.0111184,0.0169492,0.0139925,0.0116897,0.0131004,0.0170015,0.00977654,0.0101365,0.00667223,0.0293138,0.0133333,0.00956938,0.00376294,0.0142566,0.0167732,0.0187557,0.00701754,0.00449236,0.0123457,0.017762,0.00707214,0.00677966,0.00340909,0.00871731,0.010274,0.022069,0.0128617,0.00497512,0.00851466,0.00843486,0.0243902,0.00523104,0.0107066,0.00817439,0.0105184,0.0174603
DB00138,0.0266667,0.0581395,0.0294118,0.0228137,0.037037,0.0537634,0,0.0849057,0.00977199,0.0310078,0.0275229,0.0114416,0.00486618,0.0752688,0.0261438,0.0230496,0.00511364,0.00986343,0.00542495,0.0099108,0.0202952,0.0294118,0.00950119,0.0242424,0.0396825,0.0165929,0.00535801,0.00294985,0.00891972,0.0131868,0.00818554,0.00371747,0.0195652,0.0177353,0.00413467,0.0111359,0.0102564,0.0307918,0.0164204,0.0220994,0.00608828,0.0113636,0.0179856,0.00729335,0.038835,0.107527,0.0394737,0.0131579,0.0110497,0.00550314,0.00643087,0.0121359,0.0339806,0.00987654,0.117647
DB00139,0.0150754,0.0508475,0.0789474,0.025641,0.0375,0.112903,0,0.0617284,0.00357143,0.0286299,0.0375,0.0172414,0.00498339,0.046332,0.0135364,0.0204842,0.00288184,0.00696056,0.00650558,0.00814664,0.0194553,0.0270793,0.00507614,0.0526316,0.030303,0.0113636,0.00394672,0.00930233,0.0122825,0.0117096,0.0070922,0.00590551,0.0114943,0.00985915,0.00541516,0.00802752,0.0107914,0.012012,0.0137457,0.04,0.0112,0.00925926,0.0241935,0.00413565,0.0277778,0.104478,0.0638298,0.00990099,0.00775194,0.00725222,0.00844595,0.0104167,0.0574713,0.00509554,0.0897436
DB00140,0.0115473,0.0137741,0.00562588,0.0166852,0.00933333,0.00541272,0,0.0340136,0.00844773,0.0199307,0.0106809,0.0177903,0.0101877,0.00638978,0.00632411,0.0149502,0.0185654,0.0217166,0.0115141,0.0227412,0.0399306,0.0185968,0.0103872,0.00742574,0.011734,0.0103359,0.0104439,0.013772,0.00604961,0.0109689,0.0297619,0.0233161,0.0127273,0.0145879,0.00860215,0.0271164,0.00897959,0.0188964,0.0144462,0.00973236,0.00849421,0.0111111,0.0153173,0.00747065,0.02019,0.00808625,0.00555556,0.0322581,0.0464505,0.00522466,0.012749,0.0104662,0.0141844,0.00757576,0.0340599
DB00141,0.0218182,0.0763359,0.0344828,0.0224359,0.0519481,0.034965,0,0.222222,0.0285714,0.026455,0.0253165,0.0207469,0.00624512,0.0385757,0.0272727,0.0129241,0.00999445,0.00876552,0.00955691,0.0388727,0.0151515,0.0252101,0.0281385,0.028169,0.0710059,0.0157233,0.00475285,0.00689655,0.0104068,0.0159046,0.012837,0.00854701,0.0156556,0.0127226,0.0133179,0.0105485,0.0126382,0.013459,0.0121029,0.0307018,0.0128205,0.015,0.0183486,0.0101562,0.0434783,0.0479452,0.0238095,0.0499109,0.0453752,0.00834598,0.0134933,0.0174292,0.0233463,0.017585,0.223881
DB00142,0.040724,0.0588235,0.0454545,0.0307692,0.0471698,0.0777778,0,0.0857143,0.00980392,0.0792683,0.0277778,0.0184758,0.00732303,0.107407,0.0245098,0.0304114,0.00683371,0.0129474,0.00908265,0.0159681,0.0298507,0.075,0.00952381,0.0434783,0.04,0.02,0.00732422,0.0074184,0.018018,0.0176991,0.0109589,0.00559701,0.0263158,0.0219479,0.00771056,0.0111483,0.010274,0.0323529,0.0231788,0.0337079,0.0107198,0.011396,0.0217391,0.00729927,0.0441176,0.108696,0.04,0.0131827,0.0110701,0.0102767,0.00806452,0.0146341,0.049505,0.00988875,0.118812
